region_i,region_j,site_1,site_2,abs_z,p_raw,is_diag,reject_fdr
0,0,KKI,NEUROIMAGE,1.2993267204022552,0.1938318281236896,True,False
0,1,KKI,NEUROIMAGE,0.579303072933162,0.562384692417409,False,False
0,2,KKI,NEUROIMAGE,1.3549870924816967,0.17542166946207027,False,False
0,3,KKI,NEUROIMAGE,0.8218666719783418,0.41115278303031666,False,False
0,4,KKI,NEUROIMAGE,1.0891848903609185,0.27607236062302887,False,False
0,5,KKI,NEUROIMAGE,2.763245854007965,0.005722964125932989,False,False
0,6,KKI,NEUROIMAGE,0.06594249557757613,0.9474236076118246,False,False
0,7,KKI,NEUROIMAGE,0.07107145971647943,0.9433408825614747,False,False
0,8,KKI,NEUROIMAGE,1.2904078279718985,0.19690909563992054,False,False
0,9,KKI,NEUROIMAGE,2.3362176626866398,0.019479900212019546,False,False
0,10,KKI,NEUROIMAGE,0.12542850703232253,0.9001843209703444,False,False
0,11,KKI,NEUROIMAGE,0.896381691803926,0.3700489420350541,False,False
0,12,KKI,NEUROIMAGE,0.4034382686031737,0.6866258390742639,False,False
0,13,KKI,NEUROIMAGE,1.7063621881501903,0.08794066607663475,False,False
0,14,KKI,NEUROIMAGE,0.7947695529004173,0.42674756504932176,False,False
0,15,KKI,NEUROIMAGE,1.5145198995221878,0.1298940306582458,False,False
0,16,KKI,NEUROIMAGE,2.740957878744721,0.006126036024829173,False,False
0,17,KKI,NEUROIMAGE,2.05692602556643,0.03969334211033349,False,False
0,18,KKI,NEUROIMAGE,1.504186119668699,0.13253345068738207,False,False
0,19,KKI,NEUROIMAGE,1.372996295395038,0.16975349838161669,False,False
0,20,KKI,NEUROIMAGE,1.0848849395854339,0.2779726190843227,False,False
0,21,KKI,NEUROIMAGE,0.29297907618480457,0.7695381450773224,False,False
0,22,KKI,NEUROIMAGE,1.097366394638709,0.27248125758794595,False,False
0,23,KKI,NEUROIMAGE,0.6756944940868009,0.4992346324222129,False,False
0,24,KKI,NEUROIMAGE,1.4486963944234363,0.14742238783320574,False,False
0,25,KKI,NEUROIMAGE,1.0008340556308517,0.3169070420989646,False,False
0,26,KKI,NEUROIMAGE,1.044575479952288,0.29621921713082455,False,False
0,27,KKI,NEUROIMAGE,0.7259682919422907,0.4678582090015454,False,False
0,28,KKI,NEUROIMAGE,0.31926067512989303,0.7495288501936915,False,False
0,29,KKI,NEUROIMAGE,0.3816385580796347,0.7027294799118216,False,False
0,30,KKI,NEUROIMAGE,2.3713417151525604,0.017723636346896988,False,False
0,31,KKI,NEUROIMAGE,1.9037005649727628e-05,0.9999848106671091,False,False
0,32,KKI,NEUROIMAGE,1.82168833085038,0.06850228955235087,False,False
0,33,KKI,NEUROIMAGE,0.19303244886216048,0.8469335554564614,False,False
0,34,KKI,NEUROIMAGE,1.2608094672116048,0.2073775020529699,False,False
0,35,KKI,NEUROIMAGE,0.13719916974870644,0.8908733671498426,False,False
0,36,KKI,NEUROIMAGE,0.32836266810909787,0.7426374660516772,False,False
0,37,KKI,NEUROIMAGE,0.2000036970573998,0.8414776897082921,False,False
0,38,KKI,NEUROIMAGE,0.6231012785612655,0.5332179695902564,False,False
